external_id	study
GTEX-11WQK-1526-SM-5EGKN.1	ADIPOSE_TISSUE
GTEX-ZEX8-2326-SM-5S2MN.1	ADIPOSE_TISSUE
GTEX-11TT1-1926-SM-5PNYN.1	ADIPOSE_TISSUE
GTEX-UTHO-0426-SM-5SI7N.1	ADIPOSE_TISSUE
GTEX-1211K-1226-SM-5EQ4N.1	ADIPOSE_TISSUE
GTEX-12696-2526-SM-5EQLN.1	ADIPOSE_TISSUE
GTEX-13OW6-2426-SM-5K7WO.1	ADIPOSE_TISSUE
GTEX-12C56-1626-SM-5FQUO.1	ADIPOSE_TISSUE
GTEX-ZXES-0926-SM-5E43O.1	ADIPOSE_TISSUE
GTEX-13W3W-1126-SM-5L3DO.1	ADIPOSE_TISSUE
GTEX-11VI4-1226-SM-5EQMP.1	ADIPOSE_TISSUE
GTEX-13OVH-1126-SM-5K7YP.1	ADIPOSE_TISSUE
GTEX-13W3W-2526-SM-5SI9P.1	ADIPOSE_TISSUE
GTEX-XLM4-1026-SM-4AT51.1	ADIPOSE_TISSUE
GTEX-111YS-2426-SM-5GZZQ.1	ADIPOSE_TISSUE
GTEX-11OF3-0826-SM-5BC51.1	ADIPOSE_TISSUE
GTEX-13N11-2626-SM-5K7UQ.1	ADIPOSE_TISSUE
GTEX-XAJ8-0226-SM-4GIB2.1	ADIPOSE_TISSUE
GTEX-N7MS-0326-SM-4E3K2.1	ADIPOSE_TISSUE
GTEX-11DXX-2326-SM-5Q5A2.1	ADIPOSE_TISSUE
GTEX-11XUK-2126-SM-5EQLR.1	ADIPOSE_TISSUE
GTEX-XXEK-2426-SM-4BRUS.1	ADIPOSE_TISSUE
GTEX-XMK1-2226-SM-4B673.1	ADIPOSE_TISSUE
GTEX-R55D-0326-SM-48FES.1	ADIPOSE_TISSUE
GTEX-XUW1-0526-SM-4BOP3.1	ADIPOSE_TISSUE
GTEX-11ILO-0226-SM-5N9D3.1	ADIPOSE_TISSUE
GTEX-12ZZX-1726-SM-5BC63.1	ADIPOSE_TISSUE
GTEX-13W46-1226-SM-5SIAS.1	ADIPOSE_TISSUE
GTEX-POMQ-2326-SM-5S2VS.1	ADIPOSE_TISSUE
GTEX-XUJ4-2526-SM-4BOO4.1	ADIPOSE_TISSUE
GTEX-13FH7-2226-SM-5IJD4.1	ADIPOSE_TISSUE
GTEX-11P82-1726-SM-5Q5AT.1	ADIPOSE_TISSUE
GTEX-12C56-0826-SM-5EGJ5.1	ADIPOSE_TISSUE
GTEX-1128S-0926-SM-5GZZU.1	ADIPOSE_TISSUE
GTEX-13O1R-0226-SM-5K7U5.1	ADIPOSE_TISSUE
GTEX-133LE-1926-SM-5N9FV.1	ADIPOSE_TISSUE
GTEX-13OW7-1126-SM-5K7V6.1	ADIPOSE_TISSUE
GTEX-145MI-0426-SM-5O99V.1	ADIPOSE_TISSUE
GTEX-13O61-2426-SM-5J1NV.1	ADIPOSE_TISSUE
GTEX-11DXW-0326-SM-5H11W.1	ADIPOSE_TISSUE
GTEX-11LCK-0326-SM-5A5M7.1	ADIPOSE_TISSUE
GTEX-11ONC-2526-SM-5986W.1	ADIPOSE_TISSUE
GTEX-13G51-2626-SM-5LZYW.1	ADIPOSE_TISSUE
GTEX-XMK1-0926-SM-4B66X.1	ADIPOSE_TISSUE
GTEX-W5X1-2626-SM-4LMI8.1	ADIPOSE_TISSUE
GTEX-131XH-0826-SM-5GCN8.1	ADIPOSE_TISSUE
GTEX-O5YV-0226-SM-48TBY.1	ADIPOSE_TISSUE
GTEX-XGQ4-2226-SM-4AT4Y.1	ADIPOSE_TISSUE
GTEX-1122O-0926-SM-5N9C9.1	ADIPOSE_TISSUE
GTEX-13PL6-0926-SM-5KLYY.1	ADIPOSE_TISSUE
GTEX-139D8-1626-SM-5IJFZ.1	ADIPOSE_TISSUE
GTEX-11TUW-2626-SM-5EQKZ.1	ADIPOSE_TISSUE
GTEX-11PRG-1526-SM-5HL6Z.1	ADIPOSE_TISSUE
GTEX-ZVE2-1826-SM-51MRZ.1	ADIPOSE_TISSUE
GTEX-14A6H-1026-SM-5SIAZ.1	ADIPOSE_TISSUE
GTEX-ZPCL-2126-SM-57WFZ.1	ADIPOSE_TISSUE
GTEX-11NUK-2026-SM-5PNVZ.1	ADIPOSE_TISSUE
GTEX-XBEC-0326-SM-4AT4M.1	ADIPOSE_TISSUE
GTEX-NPJ8-0226-SM-48TBN.1	ADIPOSE_TISSUE
GTEX-XUZC-1826-SM-4BRVO.1	ADIPOSE_TISSUE
GTEX-XV7Q-2626-SM-4BRVA.1	ADIPOSE_TISSUE
GTEX-1ICG6-2626-SM-CGQG1.1	ADIPOSE_TISSUE
GTEX-1IY9M-1226-SM-ACKX1.1	ADIPOSE_TISSUE
GTEX-1KWVE-1326-SM-E6CJ1.1	ADIPOSE_TISSUE
GTEX-1MCYP-1826-SM-E9J2Q.1	ADIPOSE_TISSUE
GTEX-1MUQO-0526-SM-E9J31.1	ADIPOSE_TISSUE
GTEX-1PIGE-1226-SM-EVR3Q.1	ADIPOSE_TISSUE
GTEX-1QP66-1326-SM-DTXDQ.1	ADIPOSE_TISSUE
GTEX-1QW4Y-0826-SM-DTXE1.1	ADIPOSE_TISSUE
GTEX-1QW4Y-1626-SM-EAZ41.1	ADIPOSE_TISSUE
GTEX-1R7EV-1026-SM-DTX81.1	ADIPOSE_TISSUE
GTEX-1R9PO-0926-SM-E9U4Q.1	ADIPOSE_TISSUE
GTEX-1RDX4-0226-SM-DTXG1.1	ADIPOSE_TISSUE
GTEX-PLZ4-0226-SM-CYPR1.1	ADIPOSE_TISSUE
GTEX-YJ8A-1926-SM-EZ6LQ.1	ADIPOSE_TISSUE
GTEX-1POEN-1626-SM-EVYC2.1	ADIPOSE_TISSUE
GTEX-1PWST-0326-SM-EAZ42.1	ADIPOSE_TISSUE
GTEX-1QEPI-0226-SM-EWRMR.1	ADIPOSE_TISSUE
GTEX-1RAZQ-0626-SM-E8VOR.1	ADIPOSE_TISSUE
GTEX-1RQEC-2526-SM-EVYD2.1	ADIPOSE_TISSUE
GTEX-1S5VW-2426-SM-EAZ52.1	ADIPOSE_TISSUE
GTEX-1S5ZA-1026-SM-EWRO2.1	ADIPOSE_TISSUE
GTEX-ZDYS-2126-SM-5S2P2.1	ADIPOSE_TISSUE
GTEX-ZF29-0826-SM-5S2O2.1	ADIPOSE_TISSUE
GTEX-ZYT6-0326-SM-7LG5R.1	ADIPOSE_TISSUE
GTEX-1QCLY-1226-SM-EVYC3.1	ADIPOSE_TISSUE
GTEX-1S831-0326-SM-EVYD3.1	ADIPOSE_TISSUE
GTEX-OIZF-0226-SM-E9TI3.1	ADIPOSE_TISSUE
GTEX-POMQ-2326-SM-DHXIS.1	ADIPOSE_TISSUE
GTEX-QEG4-0326-SM-2S1OS.1	ADIPOSE_TISSUE
GTEX-QEG4-0326-SM-DIPE3.1	ADIPOSE_TISSUE
GTEX-Y9LG-2026-SM-62LFS.1	ADIPOSE_TISSUE
GTEX-1R9K4-1426-SM-DPRY4.1	ADIPOSE_TISSUE
GTEX-OIZG-0826-SM-E9TI4.1	ADIPOSE_TISSUE
GTEX-RUSQ-1626-SM-EZ6L4.1	ADIPOSE_TISSUE
GTEX-ZLWG-0726-SM-5S2N4.1	ADIPOSE_TISSUE
GTEX-1QP6S-1626-SM-EVYC5.1	ADIPOSE_TISSUE
GTEX-1RNSC-1626-SM-EVR4U.1	ADIPOSE_TISSUE
GTEX-UTHO-0426-SM-CE6QU.1	ADIPOSE_TISSUE
GTEX-WFG7-2526-SM-EWRM5.1	ADIPOSE_TISSUE
GTEX-1RAZR-0226-SM-EVYC6.1	ADIPOSE_TISSUE
GTEX-1RQEC-0526-SM-E6CHV.1	ADIPOSE_TISSUE
GTEX-1S82P-0226-SM-E6CI6.1	ADIPOSE_TISSUE
GTEX-Q2AH-1726-SM-DIPDV.1	ADIPOSE_TISSUE
GTEX-VUSH-0226-SM-EXUQV.1	ADIPOSE_TISSUE
GTEX-ZLWG-2226-SM-DO92V.1	ADIPOSE_TISSUE
GTEX-XUZC-1126-SM-4BOPZ.1	ADIPOSE_TISSUE
GTEX-1RAZA-0226-SM-E9U4W.1	ADIPOSE_TISSUE
GTEX-1S5ZU-0226-SM-E6CHW.1	ADIPOSE_TISSUE
GTEX-1S83E-0226-SM-EVYCW.1	ADIPOSE_TISSUE
GTEX-S4P3-1526-SM-E9J3W.1	ADIPOSE_TISSUE
GTEX-1RAZA-0926-SM-E6CQ8.1	ADIPOSE_TISSUE
GTEX-1RB15-1126-SM-E8VMX.1	ADIPOSE_TISSUE
GTEX-1RNTQ-0826-SM-E9TK8.1	ADIPOSE_TISSUE
GTEX-WFG8-2326-SM-DIPDX.1	ADIPOSE_TISSUE
GTEX-WYJK-0226-SM-EYYV8.1	ADIPOSE_TISSUE
GTEX-PWN1-0226-SM-DKPO9.1	ADIPOSE_TISSUE
GTEX-SNOS-1426-SM-32PLY.1	ADIPOSE_TISSUE
GTEX-Y3I4-0726-SM-E9J3Y.1	ADIPOSE_TISSUE
GTEX-ZYFC-1826-SM-5GZZA.1	ADIPOSE_TISSUE
GTEX-11DXZ-1426-SM-5H12A.1	ADIPOSE_TISSUE
GTEX-Y114-1326-SM-4TT9A.1	ADIPOSE_TISSUE
GTEX-ZVZO-0226-SM-5A5LA.1	ADIPOSE_TISSUE
GTEX-Z9EW-1826-SM-5CVMA.1	ADIPOSE_TISSUE
GTEX-Y9LG-1226-SM-4VBQA.1	ADIPOSE_TISSUE
GTEX-X4EO-0426-SM-4QASA.1	ADIPOSE_TISSUE
GTEX-Y5V5-2426-SM-5IFJA.1	ADIPOSE_TISSUE
GTEX-11ZTS-1326-SM-5EQMA.1	ADIPOSE_TISSUE
